year,round,grand_prix,available_compounds,yellow_flag_laps,safety_car_laps,virtual_safety_car_laps,red_flag_laps,total_laps
2020,13,Emilia Romagna Grand Prix,"['C4', 'C3', 'C2']","[1, 28, 29, 30, 50, 51, 58]","[51, 52, 53, 54, 55, 56, 57]","[29, 30]",[],63
2020,14,Turkish Grand Prix,"['C3', 'C2', 'C1']","[1, 2, 13, 14, 17, 18, 21, 33, 38, 39, 40, 48, 49]",[],"[13, 14]",[],58
2020,15,Bahrain Grand Prix,"['C4', 'C3', 'C2']","[3, 13, 54]","[3, 4, 5, 6, 7, 8, 54, 55, 56, 57]",[],[1],57
2020,16,Sakhir Grand Prix,"['C4', 'C3', 'C2']","[1, 54, 55, 61]","[1, 2, 3, 4, 5, 6, 62, 63, 64, 65, 66, 67, 68]","[55, 61]",[],87
2020,17,Abu Dhabi Grand Prix,"['C5', 'C4', 'C3']","[9, 10]","[11, 12, 13]","[10, 11]",[],55
2021,1,Bahrain Grand Prix,"['C4', 'C3', 'C2']","[1, 4, 5, 44]","[1, 2, 3]","[4, 5]",[],56
2021,2,Emilia Romagna Grand Prix,"['C4', 'C3', 'C2']","[1, 10, 13, 30, 31, 35, 38, 61]","[1, 2, 3, 4, 5, 6, 31, 32]",[],"[32, 33]",63
2021,3,Portuguese Grand Prix,"['C3', 'C2', 'C1']",[],"[2, 3, 4, 5, 6]",[],[],66
2021,4,Spanish Grand Prix,"['C3', 'C2', 'C1']","[7, 8]","[8, 9, 10]",[],[],66
2021,5,Monaco Grand Prix,"['C5', 'C4', 'C3']",[],[],[],[],78
2021,6,Azerbaijan Grand Prix,"['C5', 'C4', 'C3']","[4, 11, 23, 24, 30, 46, 47, 50]","[30, 31, 32, 33, 34, 35, 47, 48]",[],[48],51
2021,7,French Grand Prix,"['C4', 'C3', 'C2']",[],[],[],[],53
2021,8,Styrian Grand Prix,"['C4', 'C3', 'C2']",[1],[],[],[],71
2021,9,Austrian Grand Prix,"['C4', 'C3', 'C2']","[70, 71]","[1, 2, 3]",[],[],71
2021,10,British Grand Prix,"['C3', 'C2', 'C1']","[1, 4, 47]","[1, 2]",[],[2],52
2021,11,Hungarian Grand Prix,"['C4', 'C3', 'C2']","[1, 63]","[1, 2]",[],[2],70
2021,12,Belgian Grand Prix,"['C4', 'C3', 'C2']",[],[],[],[3],3
2021,13,Dutch Grand Prix,"['C3', 'C2', 'C1']",[36],[],[],[],72
2021,14,Italian Grand Prix,"['C4', 'C3', 'C2']","[1, 26, 32, 41, 43, 44]","[26, 27, 28, 29, 30]","[1, 44]",[],53
2021,15,Russian Grand Prix,"['C5', 'C4', 'C3']","[2, 47, 48, 50, 51]",[],[],[],53
2021,16,Turkish Grand Prix,"['C4', 'C3', 'C2']","[1, 2, 22, 37]",[],[],[],58
2021,17,United States Grand Prix,"['C4', 'C3', 'C2']","[1, 27, 52]",[],[27],[],56
2021,18,Mexico City Grand Prix,"['C4', 'C3', 'C2']",[1],"[1, 2, 3, 4]",[],[],71
2021,19,São Paulo Grand Prix,"['C4', 'C3', 'C2']","[14, 30]","[6, 7, 8, 9]","[12, 13, 14, 30]",[],71
2021,20,Qatar Grand Prix,"['C3', 'C2', 'C1']","[32, 33, 50, 51, 56]",[],"[54, 55, 56]",[],57
2021,21,Saudi Arabian Grand Prix,"['C4', 'C3', 'C2']","[9, 15, 23, 24, 27, 28, 32, 35]","[9, 10, 11, 12, 13]","[23, 24, 27, 28, 29, 30, 31, 32, 35]","[13, 15]",50
2021,22,Abu Dhabi Grand Prix,"['C5', 'C4', 'C3']","[25, 26, 37, 52]","[52, 53, 54, 55, 56, 57]","[35, 36, 37]",[],58
2022,1,Bahrain Grand Prix,"['C3', 'C2', 'C1']","[14, 57]","[45, 46, 47, 48, 49, 50]",[45],[],57
2022,2,Saudi Arabian Grand Prix,"['C4', 'C3', 'C2']","[16, 37, 38, 40, 48, 49, 50]","[16, 17, 18, 19, 20]","[16, 38, 39, 40]",[],50
2022,3,Australian Grand Prix,"['C5', 'C3', 'C2']","[2, 3, 23, 40]","[3, 4, 5, 6, 23, 24, 25, 26]","[3, 39, 40]",[],58
2022,4,Emilia Romagna Grand Prix,"['C4', 'C3', 'C2']","[1, 24, 25, 53]","[1, 2, 3, 4]",[],[],63
2022,5,Miami Grand Prix,"['C4', 'C3', 'C2']","[20, 40, 47, 54, 56]","[41, 42, 43, 44, 45, 46]","[40, 41]",[],57
2022,6,Spanish Grand Prix,"['C3', 'C2', 'C1']","[1, 7, 9]",[],[],[],66
2022,7,Monaco Grand Prix,"['C5', 'C4', 'C3']","[1, 6, 10, 11, 17, 20, 26, 56, 59]","[2, 27, 28, 29, 30]","[26, 27]",[30],64
2022,8,Azerbaijan Grand Prix,"['C5', 'C4', 'C3']","[9, 10, 13, 33, 34]",[],"[9, 10, 33, 34]",[],51
2022,9,Canadian Grand Prix,"['C5', 'C4', 'C3']","[8, 9, 10, 19, 20, 48]","[48, 49, 50, 51, 52, 53, 54]","[9, 10, 19, 20]",[],70
2022,10,British Grand Prix,"['C3', 'C2', 'C1']","[1, 11]","[39, 40, 41, 42]",[],[1],52
